S 农业科学 
            {S152.4+1} 结构形成因素 
            {S152.4+2} 气象因素 
            {S152.4+3} 化学因素 
            {S152.4+4} 生物因素 
            {S152.4+5} 农业技术措施对土壤结构的影响 
            {S152.4+6} 形成速度 
            {S152.4+7} 结构稳定性 
            {S152.4+8} 各种结构 
              {S152.4+81} 团聚体 
              {S152.4+82} 团粒结构 
              {S152.4+83} 片状结构 
              {S152.4+84} 核状结构 
              {S152.4+85} 块状结构 
              {S152.4+86} 柱状结构 
              {S152.4+87} 棱柱状结构 
              {S152.4+88} 单粒结构 
            {S152.4+9} 土壤结构与植物 
          S152.5 土壤比重、容重与孔隙 
          S152.6 土壤空气 
          S152.7 土壤水分 
            S152.7+1 土壤持水性（保水力、土壤湿度） 
            S152.7+2 土壤透水性（渗漏性、渗水性、渗透性） 
            S152.7+3 土壤蒸发 
            S152.7+4 土壤水分类型 
            S152.7+5 土壤水分与植物 
          S152.8 土壤温度和热流 
          S152.9 土壤物理机械性质（土壤力学） 
        S153 土壤化学、土壤物理化学 
          S153.1 土壤化学研究法 
          S153.2 土壤电化学、 寥 磁学 
          S153.3 土壤胶体化学 
          S153.4 土壤反应（土壤酸碱度） 
          S153.5 土壤溶液 
          S153.6 土壤成分 
            S153.6+1 无机成分 
            S153.6+2 有机成分 
              S153.6+21 有机质 
              S153.6+22 腐殖质 
        S154 土壤生物学 
          S154.1 土壤生态学 
          S154.2 土壤生物化学 
          S154.3 土壤微生物学 
            S154.31 土壤微生物演化 
  
            S154.32 土壤微生物遗传 
            S154.33 土壤微生物形态 
            S154.34 土壤微生物生物物理、生化与生理 
            S154.36 土壤微生物生态学 
            S154.37 土壤微生物区系 
            S154.38 土壤微生物分类 
              S154.38+1 细菌 
              S154.38+3 放线菌 
              S154.38+4 藻类 
              S154.38+5 原生动物 
              S154.38+6 线虫 
            S154.39 土壤微生物的资源开发与利用 
          S154.4 土壤-植物系统 
          S154.5 土壤动物学 
          S154.6 土壤昆虫学 
        S155 土壤分类学、土壤类型 
          S155.1 土壤分类学 
          S155.2 发生学分类 
            S155.2+1 冰沼土 
            S155.2+2 灰化土（灰色森林土） 
            S155.2+3 棕壤、灰褐土、褐土 
            S155.2+4 黄壤、黄褐土、黄棕壤 
            S155.2+5 红壤、红褐壤 
            S155.2+6 白浆土 
            S155.2+7 黑土 
            S155.2+8 黑钙土、栗钙土、棕钙土、灰钙土 
            S155.2+91 黑色石灰土、红色石灰土 
            S155.2+92 草甸土、水稻土、沼泽土 
            S155.2+93 盐碱土 
            S155.2+94 高山土壤 
          S155.3 土壤系统分类 
          S155.4 农业土壤分类 
            S155.4+1 菜园土壤 
            S155.4+2 水田土 
            S155.4+3 旱田土 
            S155.4+4 灌溉土壤 
            S155.4+5 山地土壤 
            S155.4+6 园艺土壤 
            S155.4+7 草原土壤（牧草田土壤） 
            [S155.4+8] 森林土壤 
          S155.5 其他分类 
            S155.5+1 机械组成分类 
            S155.5+2 母岩种类分类 
            S155.5+3 母质来源分类 
            S155.5+4 气候条件分类 
            S155.5+5 土壤成分分类 
            S155.5+6 土壤地带分类 
            S155.5+7 成土因素分类 
            S155.5+8 地形气候分类 
          S155.9 各国土壤分类 
        S156 土壤改良 
          S156.1 水文地质条件 
          S156.2 土壤改良剂 
          S156.3 粘土改良 
          S156.4 盐碱土改良 
            S156.4+1 盐渍化过程、动态及改良 
            S156.4+2 滨海盐渍土改良 
            S156.4+3 黄淮海盐渍土改良 
            S156.4+4 盐渍土综合改良 
            S156.4+5 种稻改良盐渍土 
            S156.4+6 水利改良盐渍土 
            S156.4+9 其他改良方法 
          S156.5  盎 改良 
          S156.6 红壤、黄壤改良 
          S156.7 沼泽地改良 
          S156.8 洼地、低湿地改良 
          S156.91 滩地改良 
          S156.92 旱地改良 
          S156.93 薄地改良 
          S156.99 其他土壤改良 
        S157 水土保持 
          S157.1 水土流失的原因及其防治 
          S157.2 水土保持的综合治理措施 
          S157.3 农田改良土地措施 
            S157.3+1 梯田、坝地 
            S157.3+2 地埂 
            S157.3+3 截水坑 
            S157.3+9 其他 
          S157.4 农业技术措施 
            S157.4+1 施肥 
            S157.4+2 耕作 
            S157.4+3 种植 
              S157.4+31 作物配植 
              S157.4+32 改进种植方法 
              S157.4+33 种植作物 
          [S157.5] 森林改  土壤措施 
          [S157.6] 水利改  土壤措施 
          S157.9 其他水土保持措施 
        S158 土壤肥力（   婪饰中裕?
          S158.1 土壤熟化和退化 
          S158.2 土壤肥力测定 
          S158.3 土壤肥力与植物 
          S158.4 土壤肥力与毒性 
          S158.5 土壤肥力控制与调节 
          S158.9 土壤肥力图 
        S159 土壤地理、土壤调查 
          S159-3 土壤调查方法 
          S159.1 世界土壤地理、土壤调查 
          S159.2 中国土壤地理、土壤调查 
          S159.3/.7 各国土壤地理、土壤调查 
          S159.9 土壤图 
      S16 农业气象学 
        S161 农业气象要素 
          S161.1 日照、辐射 
          S161.2 温度（气温） 
            S161.2+1 植物-土壤-大气系统的热量交换 
            S161.2+2 气温的变化 
            S161.2+3 气温的地区分布 
            S161.2+4 气温与地形 
            S161.2+5 农业气候热量保障指数 
          S161.3 湿度 
            S161.3+1 湿态的表示 
            S161.3+2 湿度的变化 
            S161.3+3 湿度的地理分布 
            S161.3+4 地表空气层中湿度随高度的变化 
          S161.4 蒸发与蒸腾 
            S161.4+1 环境与蒸发、蒸腾 
            S161.4+2 蒸发、蒸腾的周期变化 
          S161.5 云雾 
          S161.6 降水、降雪 
            S161.6+1 降水的非周期的变化 
            S161.6+2 降水的水平分布 
            S161.6+3 地形与降水 
          S161.7 风 
          S161.9 其他 
        S162 农业气候 
          S162.1 农业气候指标 
          S162.2 农业气候区划 
          S162.3 农业气候资源及其评定 
          S162.4 农田小气候 
            S162.4+1 保护地小气候 
            S162.4+2 大田、旱地、水浇地小气候 
            S162.4+3 菜地、果园小气候 
          S162.5 气候与作物生长 
            S162.5+1 气候与栽培 
            S162.5+2 气候与管理 
            S162.5+3 气候与粮食作物 
            S162.5+4 气候与经济作物 
            S162.5+5 气候与园艺 
            S162.5+6 气候与其他作物 
            S162.5+7 气候与种植制度 
            S162.5+9 气候与其他 
          S162.8 气候与收获 
        S163 农业气象观测与仪器、设备 
          S163+.1 观测网的组织与布局 
          S163+.3 观测方法 
          S163+.4 统计方法 
          S163+.5 观测仪器 
          S163+.7 农业气象站 
        S164 农业气象观测资料 
        S165 农业气象预报 
          S165+.1 预报网的组织 
          S165+.2 各种预报 
            S165+.21 物候预报 
            S165+.22 灌溉期和灌溉预报 
            S165+.23 播种期预报 
            S165+.24 生物季节预报 
            S165+.25 灾害性天气预报、其他预报 
            S165+.26 收获期预报 
            S165+.27 产量预报、年景预报、农业气象产量模式 
            S165+.28 病虫害气象预报 
            S165+.29 其他预报 
          S165+.3 预报的运用与核对 
        [S166] 气象灾害及其防御 
        [S167] 森林气象学 
        [S168] 畜牧气象学 
        [S169] 水产气象学 
      [S17] 农业地理学 
      S18 农业生物学 
        S181 农业生态学 
        S182 农业微生物学 
        S183 农业生物物理学 
  
        S184 农业植物学 
        S185 农业动物学 
        S186 农  昆虫学 
        S187 农业蜱螨学 
        S188 农业生物工程 
      [S19] 农业生产环境保护 
    S2 农业工程 
      S21 农业动力、农村能源 
        S210 一般性问题 
          S210.1 农业动力、农村能源区划和规划 
          [S210.3] 农村能源与环境保护 
          S210.4 节能技术 
            S210.41 常规节能 
            S210.43 节能炉灶 
            S210.45 余热利用 
          S210.5 贮能技术 
          S210.6 农业动力系统、农村能源系统管理 
          S210.7 农业动力、农村能源开发与利用 
              S211/218 各种能源的应用 
        S211 人力、畜力 
        S212 水能的应用 
        S213 风能的应用 
        S214 太阳能的应用 
          S214.2 太阳灶、太阳能热水器 
          S214.3 太阳能热温室、太阳能暖房 
          S214.4 太阳能干燥、太阳能制冷 
          S214.9 其他 
        S215 地下热能的应用 
        S216 生物能（生物质能）的应用 
          S216.1 动物能源 
          S216.2 植物能源 
          S216.3 微生物能源 
          S216.4 沼气 
        [S217] 原子能的应用 
        S218 热能和机械能的应用 
          S218.1 农用蒸汽机 
          S218.5 农用内燃机 
        S219 拖拉机 
          S219.0 一般性问题 
            S219.01 理论 
            S219.02 设计、计算、制图 
            S219.03 结构、零部件 
              S219.031 发动机 
              S219.032 底盘构造 
                S219.032.1 传动系统 
                S219.032.2 行走系统 
                S219.032.3 转向、制动系统 
                S219.032.4 悬挂、牵引装置 
                S219.032.9 其他 
              S219.033 电气设备、附件与仪表 
            S219.04 材料、原材料、辅助材料 
            S219.05 制造用设备、仪器 
            S219.06 制造工艺 
            S219.07 运行与维修 
            S219.08 机械工厂、车间 
            S219.09 拖拉机类型 
                S219.1/.9 各种拖拉机 
          S219.1 轮式拖拉机 
          S219.2 链轨式（履带式）拖拉机 
          S219.3 自动底盘拖拉机 
          S219.4 电力拖拉机 
          S219.5 液压驱动拖拉机 
          S219.6 手扶拖拉机 
          S219.7 组合式拖拉机 
          S219.8 专用拖拉机 
            S219.81 水田拖拉机 
            S219.82  教 拖拉机（机耕船） 
            S219.85 山地拖拉机 
            S219.86 园艺拖拉机 
            S219.89 其他 
          S219.9 其他 
      S22 农业机械及农具 
        S220 一般性问题 
          S220.1 理论 
          S220.2 设计、计算、制图 
          S220.3 结构、零部件 
            S220.31 传动系统 
            S220.32 行走系统 
            S220.33 挂接装置 
            S220.34 通用机架 
            S220.39 其他 
          S220.4 材料 
          S220.5 制造用设备、仪器 
          S220.6 制造工艺 
          S220.7 安装、运行与维修 
          S220.8 工厂、车间 
              S221/229 各种农机具 
        S221 手工农具、改良农具 
        S222 耕耘机具 
          S222.1 犁 
            S222.11 畜力犁 
            S222.12 机力犁 
              S222.12+1 铧式犁 
              S222.12+2 圆盘犁 
  
              S222.12+3 双向犁 
              S222.12+4 组合犁 
              S222.12+5 水田犁 
              S222.12+9 其他机力犁 
            S222.19 其他犁 
          S222.2 表土耕作机械 
            S222.21 耙 
              S222.21+1 钉齿耙 
              S222.21+2 圆盘耙 
              S222.21+3 水田耙 
              S222.21+9 其他耙 
            S222.22 耢和拖板 
            S222.23 镇压器 
            S222.29 其他 
          S222.3 旋转耕耘机械 
          S222.4 耕耘联合作业机械 
          S222.5 农田基本建设机具 
            S222.5+1 平地机、推土机 
            S222.5+2 开沟（渠）机 
            S222.5+3 筑埂机 
            S222.5+4 梯田修筑机、铲运机、铲抛机 
            S222.5+5 挖掘机、装载机 
            S222.5+6 清淤机 
            S222.5+7 石方机械与设备 
            S222.5+8 冻土机具 
            S222.5+9 其他 
        S223 种植机械 
          S223.1 种植前准备机械 
            S223.1+1 营养钵 
            S223.1+2 种子消毒机、拌种机、浸种机、选种机 
            S223.1+3 育秧机 
            S223.1+4 拔秧机 
            S223.1+9 其他 
          S223.2 播种机 
            S223.2+1 畜力播种机 
            S223.2+2 机力撒播机、机力条播机 
            S223.2+3 机力点播机、穴播机 
            S223.2+4 联合作业播种机 
            S223.2+5 特殊结构播种机 
            S223.2+6 特殊用途播种机 
          S223.5 地膜机械 
          S223.9 栽植机 
            S223.91 水稻插秧机 
              S223.91+1 人力插秧机 
              S223.91+2 机动插秧机 
            S223.92 小苗带土移栽机 
            S223.93 薯类作物栽植机 
            S223.94 特种栽植机 
            S223.95 分蘖与压条机 
            S223.99 其他 
        S224 田间管理机械 
          S224.1 中耕除草、培土机械 
            S224.1+1 畜力中耕机 
            S224.1+2 机力中耕机 
            S224.1+3 联合中耕机 
            S224.1+4 特种用途中耕机 
              S224.1+41 水田中耕机 
              S224.1+42 山地中耕机 
              S224.1+43 垅作中耕机 
              S224.1+44 园艺中耕机 
              S224.1+49 其他 
            S224.1+5 除草机 
            S224.1+6 培土机 
          S224.2 肥料机械 
            S224.21 液体肥料、粉末颗粒肥料施肥机具 
            S224.22 厩肥、堆肥装载机，施肥机 
            S224.23 肥料加工机械 
            S224.25 积肥机械 
            S224.29 其他 
          [S224.3] 植物保护机械 
          S224.4 田间管理联合作业机 
          S224.5 间苗机 
          S224.9 其他 
        S225 收获机械 
          S225.1 简易收获机具 
          S225.2 分段收获机 
            S225.2+1 割晒机 
            S225.2+2 割捆机 
            S225.2+3 捡拾机 
            S225.2+9 其他 
          S225.3 谷物、小麦联合收获机（康拜因） 
            S225.31 自走式联合收获机 
            S225.32 牵引式联合收获机 
            S225.33 悬挂式联合收获机 
            S225.39 其他 
          S225.4 水稻收获机 
          S225.5 高杆作物收获机 
            S225.5+1 玉米收获机 
            S225.5+2 高粱收获机 
            S225.5+3 甘蔗收获机 
            S225.5+9 其他 
          S225.6 豆类作物收获机 
          S225.7 块根作物收获机 
            S225.7+1 薯类（红薯、马铃薯）收获机 
            S225.7+2 甜菜、萝卜收获机 
            S225.7+3 花生、油莎豆收获机 
            S225.7+9 其他 
          [S225.8] 干草及青贮饲料收获机 
          S225.91 纤维作物收获机 
            S225.91+1 棉花收获机 
            S225.91+2 棉柴（棉杆）收获机 
            S225.91+3 麻类作物收获机 
            S225.91+9 其他纤维作物收获机 
          S225.92 蔬菜收获机 
          S225.93 树产物收获机 
          S225.99 其他 
        S226 农产品初步加工机具 
          S226.1 脱粒机具 
            S226.1+1 简易脱粒机具 
            S226.1+2 动力脱粒机具 
            S226.1+9 其他 
          [S226.2] 砻谷机、碾米机具 
          [S226.3] 磨粉机具 
          S226.4 剥皮机 
          S226.5 清选、分级机具 
          S226.6 烘干机械与设备 
          S226.7 纤维作物加工机 
            S226.7+1 棉杆、棉铃剥皮机，轧花机，棉籽脱绒机，打包机 
            S226.7+2 剥麻机、刮麻机 
            S226.7+9 其他纤维作物加工机 
          S226.8 切片、切丝、刨丝机 
          S226.9 其他 
        S229 农业运输、装卸机具，贮藏设备 
          S229+.1 农业运输机械 
          S229+.2 装卸机具 
          S229+.3 贮藏设备 
      S23 农业机械化 
  
        S23-0 农业机械化的理论与方法论 
          S23-01 农业机械化方针政策 
        [S23-9] 农业机械化技术经济 
        S231 农业机械化区划与规划 
        S232 农业机械与拖拉机运用 
          S232.3 农业机械化系统 
          S232.4 机务管理 
          S232.5 农业机械机组运用 
          S232.6 油料的供应与保管 
          S232.7 操纵技术 
          S232.8 修理工艺和设备 
            S232.8+1 修理基础理论 
            S232.8+5 修理工艺 
            S232.8+6 修理设备 
            S232.8+7 修理工作的组织与管理 
          S232.9 农业机械化推广 
        S233 农业生产作业机械化工艺组织 
          S233.1 土壤耕作作业机械化 
          S233.2 种植作业机械化 
          S233.3 田间管理作业机械化 
          S233.4 收获作业机械化 
          S233.5 农副产品加工机械化 
          [S233.6] 排灌作业机械化 
          S233.71 水稻生产机械化 
          S233.72 小麦生产机械化 
          S233.73 其他粮食作物生产机械化 
          S233.74 园艺作物生产机械化 
          S233.75 经济作物生产机械化 
          S233.9 其他 
        S237 农用仪器、仪表及设备 
        S238 农业工业化 
      S24 农业电气化与自动化 
      S25 农业航空 
        S251 农用飞机及其设备 
        S252 飞机在农业上的应用 
          S252+.1 飞机播种 
          S252+.2 飞机施肥 
          S252+.3 飞机喷雾、喷粉杀虫 
          S252+.4 飞机降雨 
          S252+.9 其他 
      S26 农业建筑 
        [S26+1] 栽种建筑物 
        [S26+3] 农业工程用建筑物 
        [S26+8] 农用辅助建筑物 
      S27 农田水利 
        S271 农业水文学 
        S273 水源 
          S273.1 地面水的利用 
          S273.2 河水 
            S273.29 地方径流 
          S273.3 湖水 
          S273.4 地下水的利用 
          S273.5 城镇工业污水的利用 
        S274 灌溉制度与管理 
          S274.1 灌溉制度 
          S274.2 灌溉系统 
          S274.3 灌溉管理 
          S274.4 灌溉用水的测量与统计 
          S274.5 灌溉设备的清理 
          S274.6 灌溉地的养护 
        S275 灌溉技术 
          S275.1 提水灌溉 
          S275.2 自流灌溉 
          S275.3 地面灌 
          S275.4 地下灌 
          S275.5 微喷与喷灌 
          S275.6 滴灌 
          S275.7 放淤 
          S275.8 间歇灌 
          S275.9 其他 
        S276 排水 
          S276.1 排水理论 
          S276.3 排水系统 
          S276.5 排水网管理（防涝） 
          S276.7 排水方式 
            S276.7+1 明渠排水 
            S276.7+2 暗沟排水 
            S276.7+3 竖井排水 
            S276.7+4 截渗排水 
            S276.7+9 其他 
  
        S277 排灌工程 
          S277.1 排灌站 
          S277.2 农业凿井 
          S277.3 山地排灌工程 
          S277.4 圩垸与围垦工程 
            S277.4+1 圩垸工程 
            S277.4+2 海涂围垦 
            S277.4+3 滨湖围垦 
            S277.4+4 河滩地围垦 
          S277.5 地下排灌 
          S277.7 农牧区给水和水利工程 
          S277.9 排灌机械与设备 
            S277.9+1 简易提水机具 
            S277.9+2 水泵排灌设备 
            S277.9+4 喷灌机械 
            S277.9+5 滴灌机械 
            S277.9+9 其他 
        S278 水利改  土壤措施 
        S279 各国农田水利 
          S279.1 世界 
          S279.2 中国 
          S279.3/.7 各国 
      S28 农田基本建设、农垦 
        S281 平整土地 
        S282 旱地、水田 
        S283 草地 
        S284 丘陵地、山地 
        S285 森林地 
        S286 池沼地 
        S287 盐碱地 
        S288 沙地、沙漠地 
        S289 其他 
      S29 农业工程勘测、土地测量 
    S3 农学（农艺学） 
      S3-3 农学的研究方法 
        S3-33 丰产试验（经验）、农业技术推广 
      S31 作物生物学原理、栽培技术与方法 
        S311 作物生理学 
        S312 作物生物化学 
        S313 作物生物物理学 
        S314 作物生态学 
        S315 作物分布、作物地理学 
        S316 保护地栽培 
        S317 无土栽培 
        S318 其他栽培技术与方法 
  
      S32 作物品种与种质资源（品种资源） 
        S321 品种的起源与演变 
        S322 引种和驯化 
          S322.1 本国品种区域性引进、鉴定及推广 
          S322.2 外国品种的引种 
          S322.3 野生植物的驯化栽培 
          S322.4 自然驯化（归化） 
          S322.5 风土驯化（气候驯化） 
        S323 品种的分类 
        S324 种质资源（品种资源）的调查、收集 
        S325 品种的整理与保存 
          S325.1 室内保存 
            S325.1+1 简易保存法 
            S325.1+2 现代化保存法（试管保存） 
          S325.2 田间保存 
        S326 种质资源（品种资源）的开发与利用 
        S329 品种志、品种目录 
      S33 作物遗传育种与良种繁育 
  
        S330 作物遗传育种 
          S330.2 种子生理、生化 
            S330.2+1 种子的发生 
            S330.2+3 种子的结构 
            S330.2+5 种子的遗传 
            S330.2+9 其他 
          S330.3 种子生态 
            S330.3+1 生活力 
            S330.3+3 休眠 
            S330.3+5 成分 
            S330.3+9 其他 
        S331 优良品质的育种 
        S332 抗逆品种的育种 
          S332.1 作物抗逆性鉴定 
          S332.2 抗病性育种 
          S332.3 抗虫性育种 
          S332.4 抗旱、抗涝性育种 
          S332.5 抗寒、抗热性育种 
          S332.6 抗盐碱性育种 
          S332.7 抗倒伏性育种 
          S332.9 其他 
        S333 选种、选择育种 
          S333.1 种子地（留种田） 
          S333.2 田间选 
          S333.3 场选、室内选 
          S333.4 穗部处理 
          S333.5 清选和分级 
          S333.6 选择育种法 
            S333.6+1 混合选择法 
            S333.6+2 改良混合选择法 
            S333.6+3 集团选种法 
            S333.6+4 个体选择法 
            S333.6+9 其他 
        S334 杂交育种 
          S334.1 无性杂交育种 
          S334.2 有性杂交育种 
            S334.2+1 去雄技术 
            S334.2+2 授粉技术 
            S334.2+3 自交 
            S334.2+4 异交 
            {S334.2+5} 人工授粉 
          S334.3 远缘杂交 
          S334.4 远距离杂交 
          S334.5 杂种优势利用 
        S335 引变（诱变）和突变育种 
          S335.1 多倍体理论及多倍体育种 
          S335.2 物理引变（诱变） 
            S335.2+1 辐射育种 
            S335.2+2 超声波育种 
            S335.2+9 其他 
          S335.3 化学引变（诱变） 
          S335.4 单倍体育种 
        S336 生物技术育种方法 
        S337 综合育种方法 
        S338 品种试验和鉴定 
        S339 良种繁育 
          S339.1 繁育制度 
          S339.2 种子的组织管理 
          S339.3 种子检验与贮藏 
            S339.3+1 种子检验与鉴定 
            S339.3+2 种子贮藏 
            S339.3+3 种子干燥 
            S339.3+4 种子仓库及其设备 
            S339.3+5 种子贮藏期间的管理 
            S339.3+9 其他 
          S339.4 繁育技术 
            S339.4+1 无性繁殖 
            S339.4+2 分株 
            S339.4+3 压条 
            S339.4+4 扦插 
            S339.4+5 嫁接 
            S339.4+6 移植 
            S339.4+9 其他 
          S339.5 品种的提纯和变性 
            S339.5+1 品种退化及防治 
            S339.5+2 品种复壮 
            S339.5+3 种子混杂防止 
            S339.5+9 其他 
      S34 耕作学与有机农业 
        S341 一般耕作技术 
          S341.1 耕地 
          S341.2 整地 
          S341.3 耙地 
          S341.4 镇压 
          [S341.5] 中耕 
          [S341.6] 除草 
          S341.7 开沟 
          S341.9 其他 
        S342 不同自然地带耕作法 
          S342.1 干旱地区 
          S342.2 潮湿地区 
          S342.3 草原地区 
          S342.4 山地 
          S342.5 热带、亚热带、温带、寒带地区 
        S343 各类型地的耕作法 
          S343.1 旱田 
          S343.2 水田 
          S343.3 梯田、坡地 
          S343.4 盐碱地 
          S343.9 其他 
        S344 耕作的制度和方式 
          S344-0 理论与方法论 
            S344-09 原始耕作制 
          S344.1 轮作制 
            S344.11 休闲轮作制 
            S344.12 半休闲轮作制 
            S344.13 大田作物轮作制 
            S344.14 饲料作物轮作制 
            S344.15 粮菜轮作制 
            S344.16 草（绿肥）田轮作制 
            S344.17 水旱轮作制 
            S344.18 中耕田轮作制 
            S344.19 其他 
          S344.2 间作 
          S344.3 套作、复种 
          S344.4 连作 
          S344.5 单作 
          S344.6 茬口分析 
          S344.9 其他 
        S345 有机农业 
      S35 播种、栽植 
        S351 播种材料的处理 
          S351.1 种子处理 
          S351.2 种子消毒 
          S351.3 种子肥育 
          S351.5 催芽 
            S351.5+1 浸种催芽 
            S351.5+2 低温催芽 
            S351.5+3 药剂催芽 
            S351.5+4 超声波催芽 
            S351.5+9 其他 
        S352 播种 
          S352.1 播种期 
          S352.2 播种量 
          S352.3 播种密度 
          S352.4 播种深度 
          S352.5 播种法 
            S352.5+1 撒播 
            S352.5+2 条播 
            S352.5+3 穴播（点播、丛播、簇播） 
            S352.5+4 垅沟播 
            S352.5+5 垅背播 
            S352.5+9 其他 
        S353 阶段发育 
          S353+.1 春化 
          S353+.2 光化 
          S353+.3 第三阶段 
          S353+.4 第四阶段 
        S359 栽植法 
          S359.1 合理密植 
          S359.2 移植 
          S359.3 定植 
          S359.9 其他栽植法 
      S36 田间管理 
        S363 作物生育期的管理 
        S365 中耕、除草、培土、水肥管理 
        S369 后期管理 
          S369+.5 倒伏及防止方法 
      S37 农产品收获、加工及贮藏 
        S371 成熟 
        S372 收获、打谷、脱粒 
        S375 干燥、清除、选择、分级 
        S377 加工、包装、运输 
        S379 贮藏 
          S379.1 贮藏前检验及准备 
          S379.2 贮藏法 
